dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
mixed_conf_f10_s500_p50,LGBM,PC,Asymmetric,13.178463968893434,0.5765253500952767,0.043747537759796014,5,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],1.0,mixed_conf
mixed_conf_f10_s500_p50,LGBM,PC,Causal,6.536449898800182,0.5534330876720343,0.08466875693082591,4,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],0.8,mixed_conf
mixed_conf_f10_s500_p50,LGBM,PC,Flow,10.334025935583055,0.8552781130776624,0.08276330235757308,5,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],1.0,mixed_conf
mixed_conf_f10_s500_p50,LGBM,LINGAM,Scratch,14.035653188980213,0.5682092180220714,0.04048327572443785,5,5,7.657836905285121,0.9995996428095613,2,2,"[0, 1, 6, 8, 9]","[0, 1]",1.0,mixed_conf
mixed_conf_f10_s500_p50,LGBM,LINGAM,Asymmetric,11.739719057065576,0.5690554121518507,0.04847266015359741,5,5,7.317374663277681,0.9981741359179134,2,2,"[0, 1, 6, 8, 9]","[0, 1]",1.0,mixed_conf
mixed_conf_f10_s500_p50,LGBM,LINGAM,Causal,11.520276669211874,0.5711082042539336,0.049574174358175745,5,5,7.613933673344078,1.0172768753218855,2,2,"[0, 1, 6, 8, 9]","[0, 1]",1.0,mixed_conf
mixed_conf_f10_s500_p50,LGBM,LINGAM,Flow,2.167564000217146,0.6301469431213164,0.2907166492238238,3,5,3.4147130658900093,1.0602180127336862,2,2,"[0, 1, 6, 8, 9]","[0, 1]",0.6,mixed_conf
mixed_conf_f10_s500_p50,NN,PC,Scratch,15.551305667312011,0.6077676638671461,0.03908145572269474,4,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,PC,Asymmetric,12.83480547343128,0.6105291610712886,0.04756824420402132,4,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,PC,Causal,6.530801297584757,0.5833991822427627,0.08933041378222872,4,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,PC,Flow,8.531555376877606,0.9101320046577861,0.10667832117979852,4,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,LINGAM,Scratch,15.551305667312011,0.6077676638671461,0.03908145572269474,4,5,8.182705351111615,1.0861659212144263,2,2,"[0, 1, 6, 8, 9]","[0, 1]",0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,LINGAM,Asymmetric,10.326837867271408,0.6087298508251175,0.05894639372177518,4,5,7.390305233528618,1.0830111975078787,2,2,"[0, 1, 6, 8, 9]","[0, 1]",0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,LINGAM,Causal,11.052859966149716,0.608167982221689,0.05502358521543319,4,5,7.750850711190548,1.0936014247952262,2,2,"[0, 1, 6, 8, 9]","[0, 1]",0.8,mixed_conf
mixed_conf_f10_s500_p50,NN,LINGAM,Flow,2.218491797234649,0.5775898890415654,0.2603525015334884,3,5,5.182851207932125,1.1823481162958507,2,2,"[0, 1, 6, 8, 9]","[0, 1]",0.6,mixed_conf
